Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Hubbardston - Hubbardston Public Library,2016,"4,464","11,635","$71,952",4,82,5,10,31,483,40,575,"1,814","1,186","4,387",5,312
Avon - Avon Public Library,2016,"4,454","31,730","$412,118",30,300,0,0,40,227,70,527,"3,890","9,993","40,255",5,"5,044"
West Newbury - G. A. R. Memorial Library,2016,"4,437","90,043","$328,218",42,457,22,133,144,"3,823",208,"4,413","15,443","14,136","53,806",7,"4,004"
Boylston - Boylston Public Library,2016,"4,431","25,923","$184,642",47,661,15,98,76,"1,099",138,"1,858","4,571","3,756","23,760",6,"3,484"
Edgartown - Edgartown Free Public Library,2016,"4,278","53,998","$623,756",132,"2,636",0,0,112,"1,354",244,"3,990","6,915","18,596","39,619",17,"7,072"
Sherborn - Sherborn Library,2016,"4,239","54,762","$402,931",176,"1,091",5,65,119,"1,830",300,"2,986","6,232","14,856","48,816",6,"2,080"
Tisbury - Vineyard Haven Public Library,2016,"4,108","84,005","$572,698",188,"4,353",8,8,206,"2,275",402,"6,636","13,565","24,731","69,892",21,"16,276"
West Brookfield - Merriam-Gilbert Public Library,2016,"3,759","35,109","$189,745",62,509,10,117,107,"2,232",179,"2,858","4,463","5,766","36,147",5,"3,224"
Brimfield - Brimfield Public Library,2016,"3,708","11,075","$96,577",18,233,0,0,8,102,26,335,579,0,"5,352",2,780
Sunderland - Sunderland Public Library,2016,"3,690","61,171","$123,006",224,"2,748",67,380,118,"2,259",409,"5,387","10,222","6,822","50,464",15,"11,700"
Essex - T.O.H.P. Burnham Free Library,2016,"3,606","28,667","$135,973",40,696,16,94,65,"1,112",121,"1,902","8,344","6,008",,3,"1,560"
Nahant - Nahant Public Library,2016,"3,446","14,504","$210,404",14,391,4,14,29,480,47,885,511,444,"11,013",4,416
Princeton - Princeton Public Library,2016,"3,436","35,814","$178,317",46,632,15,179,142,"2,270",203,"3,081","6,690","4,748","28,219",9,"2,340"
Brookfield - Merrick Public Library,2016,"3,381","25,536","$114,718",55,850,8,150,58,"1,894",121,"2,894","4,478","5,776","16,019",5,"2,600"
Dunstable - Dunstable Free Public Library,2016,"3,346","18,636","$154,739",43,991,37,89,124,"1,839",204,"2,919","4,312","8,287","11,500",3,780
Hatfield - Hatfield Public Library,2016,"3,282","25,899","$107,847",17,110,1,85,52,992,70,"1,187","4,914","4,267","12,266",3,468
Sheffield - Bushnell-Sage Library,2016,"3,225","35,059","$162,013",289,"1,829",,,178,"1,559",467,"3,388","5,239","10,881","29,416",5,"6,552"
Millville - Millville Free Public Library,2016,"3,210","3,552","$31,145",7,100,,,25,198,32,298,,,,5,260
Cheshire - Cheshire Public Library,2016,"3,192","7,253","$26,910",6,135,2,15,32,223,40,373,"1,000",763,"4,217",1,52
Ashby - Ashby Free Public Library,2016,"3,161","19,982","$90,728",37,193,18,98,73,856,128,"1,147","3,477","5,872","11,400",6,364
Lanesborough - Lanesborough Public Library,2016,"3,037","8,161","$35,014",4,140,0,0,52,418,56,558,212,356,"5,292",2,260
Northfield - Field Library,2016,"3,023",324,$625,1,45,0,0,8,40,9,85,454,16,294,0,0
Northfield - Dickinson Memorial Library,2016,"3,023","44,645","$152,684",135,"1,241",0,0,75,"1,797",210,"3,038","9,150","2,932","24,990",7,416
Hardwick - Paige Memorial Library,2016,"2,997","4,737","$50,438",3,9,11,31,14,126,28,166,"1,104",332,"2,823",3,416
Hardwick - Gilbertville Public Library,2016,"2,997","13,672","$23,427",77,903,0,0,5,222,82,"1,125",994,300,"9,055",7,"9,360"
Provincetown - Provincetown Public Library,2016,"2,966","44,710","$315,994",384,"4,904",14,163,48,544,446,"5,611","8,280","12,341","308,983",12,"39,000"
Berlin - Berlin Public Library,2016,"2,942","16,477","$128,834",19,455,36,180,180,"2,017",235,"2,652","3,670","3,836","10,400",3,936
West Tisbury - West Tisbury Free Public Library,2016,"2,874","190,076","$686,506","1,643","11,299",80,541,235,"4,180","1,958","16,020","1,340",347,"147,607",20,"36,400"
Plympton - Plympton Public Library,2016,"2,859","21,157","$131,820",108,903,1,12,89,"1,455",198,"2,370","3,200","8,757","11,875",6,"1,248"
Wellfleet - Wellfleet Public Library,2016,"2,733","124,706","$426,480",467,"14,332",70,275,398,"4,562",935,"19,169","13,980","16,807","124,701",22,"30,992"
Holland - Holland Public Library,2016,"2,495","7,132","$46,670",30,406,20,48,40,279,90,733,958,"1,678","4,046",2,520
Williamsburg - Meekins Public Library,2016,"2,466","73,423","$131,067",32,434,10,39,116,"1,256",158,"1,729","9,896","9,971","46,576",11,"1,352"
"Becket - Becket Athenaeum, Inc.",2016,"2,317","6,357","$53,460",8,100,154,"1,216",130,"1,300",292,"2,616",563,309,"6,889",9,"4,524"
East Brookfield - East Brookfield Public Library,2016,"2,183","11,800","$80,469",100,"1,032",8,26,89,"1,624",197,"2,682","1,635","2,724","7,454",3,"1,248"
Huntington - Huntington Public Library,2016,"2,168","9,333","$68,750",30,230,0,0,20,239,50,469,526,205,"4,319",5,"3,016"
